"id","playa_any","riparian_any","perc_transect","mode_habitat"
"CO-BCR18-AR1",0,0.188461538461538,0.473076923076923,"AR"
"CO-BCR18-AR11",0,0,0.385416666666667,"GR"
"CO-BCR18-AR2",0,0,0.771929824561403,"GR"
"CO-BCR18-AR5",0,0,0.805194805194805,"AR"
"CO-BCR18-AR6",0,0.375,0.375,"RI"
"CO-BCR18-AR7",0,0.0666666666666667,0.933333333333333,"UR"
"CO-BCR18-AR8",0,0,0.836734693877551,"PJ"
"CO-BCR18-AR9",0,0.740157480314961,0.740157480314961,"RI"
"CO-BCR18-CO1",0,0,0.830985915492958,"GR"
"CO-BCR18-CO10",0,0,0.865116279069767,"GR"
"CO-BCR18-CO3",0,0,1,"GR"
"CO-BCR18-CO4",0,0,1,"GR"
"CO-BCR18-CO5",0,0.159090909090909,0.840909090909091,"PJ"
"CO-BCR18-CO6",0,0,0.749003984063745,"GR"
"CO-BCR18-CO7",0,0,0.812903225806452,"GR"
"CO-BCR18-CO8",0,0,1,"GR"
"CO-BCR18-DO1",0,0.369942196531792,0.526011560693642,"SA"
"CO-BCR18-DO2",0,0.295774647887324,0.483568075117371,"GR"
"CO-BCR18-IA1",0,0,1,"GR"
"CO-BCR18-IA2",0,0.136842105263158,0.58421052631579,"AR"
"CO-BCR18-IA3",0,0.0622222222222222,0.937777777777778,"GR"
"CO-BCR18-IA4",0,0,1,"GR"
"CO-BCR18-IA5",0,0,1,"GR"
"CO-BCR18-IA6",0,0,1,"AR"
"CO-BCR18-IA7",0,0,1,"AR"
"CO-BCR18-IA9",0,0,1,"AR"
"CO-BCR18-NP1",0,0,1,"GR"
"CO-BCR18-NP2",0,0,1,"GR"
"CO-BCR18-NP3",0,0,0.62396694214876,"GR"
"CO-BCR18-NP4",0,0,1,"AR"
"CO-BCR18-NP5",0,0,0.833333333333333,"GR"
"CO-BCR18-NP6",0,0,1,"GR"
"CO-BCR18-NP7",0,0,1,"UR"
"CO-BCR18-NP8",0,0,0.785714285714286,"AR"
"CO-BCR18-PC2",0,0,1,"GR"
"CO-BCR18-PC3",0,0,1,"GR"
"CO-BCR18-PG1",0,0,0.834355828220859,"GR"
"CO-BCR18-PG2",0,0,1,"GR"
"CO-BCR18-PG3",0,0,1,"GR"
"CO-BCR18-PG4",0,0,1,"GR"
"CO-BCR18-PG5",0,0,0.76984126984127,"DS"
"CO-BCR18-PI1",0,0,0.75,"GR"
"CO-BCR18-PI10",0,0,0.629166666666667,"GR"
"CO-BCR18-PI11",0,0,1,"AR"
"CO-BCR18-PI5",0,0,0.760869565217391,"AR"
"CO-BCR18-PI6",0,0,1,"GR"
"CO-BCR18-PI7",0,0,0.607003891050584,"SA"
"CO-BCR18-PI8",0,0,0.777777777777778,"SA"
"CO-BCR18-PI9",0,0,1,"GR"
"CO-BCR18-PT1",0,0.243781094527363,0.616915422885572,"UR"
"CO-BCR18-PT2",0,0.254054054054054,0.486486486486487,"UR"
"CO-BCR18-PT3",0,0.183673469387755,0.739795918367347,"UR"
"CO-BCR18-PT4",0,0.196969696969697,0.348484848484849,"WE"
"CO-BCR18-PT5",0,0.172566371681416,0.349557522123894,"AR"
"CO-BCR18-PT6",0,0.561643835616438,0.561643835616438,"RI"
"CO-BCR18-PT7",0,0.466257668711656,0.466257668711656,"RI"
"CO-BCR18-PT8",0,0.27906976744186,0.61046511627907,"UR"
"CO-BCR18-SA10",0,0,1,"GR"
"CO-BCR18-SA14",0,0,0.61214953271028,"GR"
"CO-BCR18-SA2",0,0,1,"GR"
"CO-BCR18-SA4",0,0,1,"GR"
"CO-BCR18-SA5",0,0,0.755725190839695,"GR"
"CO-BCR18-SA6",0,0,1,"GR"
"CO-BCR18-SA7",0,0.0769230769230769,0.923076923076923,"AR"
"CO-BCR18-SA9",0,0,1,"GR"
"KS-BCR18-AO11",0,0,0.742857142857143,"GR"
"KS-BCR18-AO12",0,0,0.709090909090909,"GR"
"KS-BCR18-AO13",0,0,1,"AR"
"KS-BCR18-AO14",0,0,1,"GR"
"KS-BCR18-AO16",0,0,0.952153110047847,"GR"
"KS-BCR18-AO18",0,0,0.829545454545455,"GR"
"KS-BCR18-AO6",0,0,1,"AR"
"KS-BCR18-AO7",0,0,0.692913385826772,"AR"
"KS-BCR18-CM1",0,0,0.678571428571429,"GR"
"KS-BCR18-CM2",0,0,0.85,"SA"
"KS-BCR18-CM3",0,0,0.918367346938776,"GR"
"KS-BCR18-PL2",0,0,1,"AR"
"KS-BCR18-PL3",0.344444444444444,0,0.655555555555556,"AR"
"KS-BCR18-RV10",0,0.223529411764706,0.776470588235294,"GR"
"KS-BCR18-RV2",0,0.505813953488372,0.505813953488372,"RI"
"NE-BCR18-AF10",0,0.10077519379845,0.829457364341085,"GR"
"NE-BCR18-AF12",0,0,0.856435643564356,"GR"
"NE-BCR18-AF2",0,0,0.726114649681529,"GR"
"NE-BCR18-AF3",0,0,0.836666666666667,"GR"
"NE-BCR18-AF4",0,0.547511312217195,0.547511312217195,"RI"
"NE-BCR18-AF5",0,0.379310344827586,0.620689655172414,"GR"
"NE-BCR18-AF7",0,0.398416886543536,0.527704485488127,"GR"
"NE-BCR18-AF8",0,0,0.751515151515151,"GR"
"NE-BCR18-AF9",0,0,1,"GR"
"NE-BCR18-AO1",0,0,1,"GR"
